samplename,kingdom,phylum,class,order,family,genus,species
M00598:87:000000000-J7KGW:1:1101:10494:15303__kiwi2020__AG0529-0728__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Monoglobus,
M00598:87:000000000-J7KGW:1:1101:10498:21195__kiwi2020__AG0529-0319__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Heliimonas,
M00598:87:000000000-J7KGW:1:1101:10499:15798__kiwi2020__AG0529-1089__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Alkalibacter,
M00598:87:000000000-J7KGW:1:1101:10503:25323__kiwi2020__AG0529-0414__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,
M00598:87:000000000-J7KGW:1:1101:10508:13645__kiwi2020__AG0529-0614__515f,Bacteria,Acidobacteria,Acidobacteria_Gp13,Gp13,,,
M00598:87:000000000-J7KGW:1:1101:10513:15858__kiwi2020__AG0529-0911__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,
M00598:87:000000000-J7KGW:1:1101:10562:18099__kiwi2020__AG0529-1103__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Thermoclostridium,
M00598:87:000000000-J7KGW:1:1101:10604:26183__kiwi2020__AG0529-1021__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,
M00598:87:000000000-J7KGW:1:1101:10627:4083__kiwi2020__AG0529-1175__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
M00598:87:000000000-J7KGW:1:1101:10682:9266__kiwi2020__AG0529-0513__515f,Bacteria,Acidobacteria,Acidobacteria_Gp1,Occallatibacter,,,
M00598:87:000000000-J7KGW:1:1101:10684:7480__kiwi2020__AG0529-0475__515f,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,
M00598:87:000000000-J7KGW:1:1101:10790:10803__kiwi2020__AG0529-1022__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,
M00598:87:000000000-J7KGW:1:1101:10791:23380__kiwi2020__AG0529-0307__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Micropepsis,
M00598:87:000000000-J7KGW:1:1101:10795:7785__kiwi2020__AG0529-0308__515f,Bacteria,Acidobacteria,Acidobacteria_Gp1,Occallatibacter,,,
M00598:87:000000000-J7KGW:1:1101:10833:10569__kiwi2020__AG0529-0401__515f,Bacteria,Acidobacteria,Acidobacteria_Gp6,Gp6,,,
M00598:87:000000000-J7KGW:1:1101:10860:17582__kiwi2020__AG0529-0325__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,
M00598:87:000000000-J7KGW:1:1101:10880:7200__kiwi2020__AG0529-0395__515f,Bacteria,Actinobacteria,Actinobacteria,Cryptosporangiales,Cryptosporangiaceae,Cryptosporangium,
M00598:87:000000000-J7KGW:1:1101:10896:5374__kiwi2020__AG0529-0444__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
M00598:87:000000000-J7KGW:1:1101:10915:26544__kiwi2020__AG0529-0778__515f,Bacteria,candidate division WPS-2,WPS-2_genera_incertae_sedis,,,,
M00598:87:000000000-J7KGW:1:1101:10974:21427__kiwi2020__AG0529-1064__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Herbinix,
M00598:87:000000000-J7KGW:1:1101:11006:12057__kiwi2020__AG0529-1021__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Candidatus Carsonella,,
M00598:87:000000000-J7KGW:1:1101:11046:12285__kiwi2020__AG0529-0985__515f,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Acetonema,
M00598:87:000000000-J7KGW:1:1101:11051:9636__kiwi2020__AG0529-0516__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudescherichia,
M00598:87:000000000-J7KGW:1:1101:11055:12160__kiwi2020__AG0529-1104__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,
M00598:87:000000000-J7KGW:1:1101:11131:19589__kiwi2020__AG0529-0414__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Merdimonas,
M00598:87:000000000-J7KGW:1:1101:11158:9995__kiwi2020__AG0529-0325__515f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,
M00598:87:000000000-J7KGW:1:1101:11240:21564__kiwi2020__AG0529-0534__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Asaccharospora,
M00598:87:000000000-J7KGW:1:1101:11241:15119__kiwi2020__AG0529-0812__515f,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,
M00598:87:000000000-J7KGW:1:1101:11250:25964__kiwi2020__AG0529-0732__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,
M00598:87:000000000-J7KGW:1:1101:11272:25791__kiwi2020__AG0529-0914__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Kaistiaceae,Kaistia,
M00598:87:000000000-J7KGW:1:1101:11276:3305__kiwi2020__AG0529-0170__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Taibaiella,
M00598:87:000000000-J7KGW:1:1101:11279:10256__kiwi2020__AG0529-0321__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,
M00598:87:000000000-J7KGW:1:1101:11346:21190__kiwi2020__AG0529-0143__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Massiliimalia,
M00598:87:000000000-J7KGW:1:1101:11352:12124__kiwi2020__AG0529-0728__515f,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Raoultibacter,
M00598:87:000000000-J7KGW:1:1101:11408:4062__kiwi2020__AG0529-0308__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Micropepsis,
M00598:87:000000000-J7KGW:1:1101:11409:9002__kiwi2020__AG0529-0659__515f,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,
M00598:87:000000000-J7KGW:1:1101:11504:23674__kiwi2020__AG0529-0301__515f,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Parviterribacteraceae,Parviterribacter,
M00598:87:000000000-J7KGW:1:1101:11520:2864__kiwi2020__AG0529-0012__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Labilitrichaceae,Labilithrix
M00598:87:000000000-J7KGW:1:1101:11537:15050__kiwi2020__AG0529-0546__515f,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Desertimonas,
M00598:87:000000000-J7KGW:1:1101:11601:9513__kiwi2020__AG0529-0526__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,
M00598:87:000000000-J7KGW:1:1101:11632:16830__kiwi2020__AG0529-0356__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Blastochloridaceae,Blastochloris,
M00598:87:000000000-J7KGW:1:1101:11708:15172__kiwi2020__AG0529-0600__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,
M00598:87:000000000-J7KGW:1:1101:11710:9414__kiwi2020__AG0529-0626__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Nevskiaceae,Polycyclovorans,
M00598:87:000000000-J7KGW:1:1101:11808:17752__kiwi2020__AG0529-0914__515f,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula,
M00598:87:000000000-J7KGW:1:1101:11810:23492__kiwi2020__AG0529-0548__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XIII,Anaerovorax,
M00598:87:000000000-J7KGW:1:1101:11822:15411__kiwi2020__AG0529-0719__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,
M00598:87:000000000-J7KGW:1:1101:11861:17111__kiwi2020__AG0529-1104__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus2,
M00598:87:000000000-J7KGW:1:1101:11909:6855__kiwi2020__AG0529-0497__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodopila,
M00598:87:000000000-J7KGW:1:1101:11973:5712__kiwi2020__AG0529-0553__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Mageeibacillus,
M00598:87:000000000-J7KGW:1:1101:11978:8147__kiwi2020__AG0529-0180__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,
M00598:87:000000000-J7KGW:1:1101:11992:12038__kiwi2020__AG0529-0829__515f,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,
M00598:87:000000000-J7KGW:1:1101:12001:17479__kiwi2020__AG0529-0492__515f,Bacteria,Acidobacteria,Acidobacteria_Gp3,Gp3,,,
M00598:87:000000000-J7KGW:1:1101:12028:19404__kiwi2020__AG0529-1144__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flintibacter,
M00598:87:000000000-J7KGW:1:1101:12120:7599__kiwi2020__AG0529-0401__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisoma,
M00598:87:000000000-J7KGW:1:1101:12124:23326__kiwi2020__AG0529-0145__515f,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,
M00598:87:000000000-J7KGW:1:1101:12243:15930__kiwi2020__AG0529-0870__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paeniclostridium,
M00598:87:000000000-J7KGW:1:1101:12291:14390__kiwi2020__AG0529-0581__515f,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,
M00598:87:000000000-J7KGW:1:1101:12299:16967__kiwi2020__AG0529-0138__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
M00598:87:000000000-J7KGW:1:1101:12320:6493__kiwi2020__AG0529-1097__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,
M00598:87:000000000-J7KGW:1:1101:12365:10568__kiwi2020__AG0529-0506__515f,Bacteria,Acidobacteria,Acidobacteria_Gp1,Edaphobacter,,,
M00598:87:000000000-J7KGW:1:1101:12490:8669__kiwi2020__AG0529-0618__515f,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Baekduiaceae,Baekduia,
M00598:87:000000000-J7KGW:1:1101:12537:11881__kiwi2020__AG0529-0847__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,
M00598:87:000000000-J7KGW:1:1101:12618:10658__kiwi2020__AG0529-0706__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Salinarimonas,
M00598:87:000000000-J7KGW:1:1101:12618:16757__kiwi2020__AG0529-0741__515f,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Algisphaera,
M00598:87:000000000-J7KGW:1:1101:12624:5482__kiwi2020__AG0529-0120__515f,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermanaerothrix,
M00598:87:000000000-J7KGW:1:1101:12673:7369__kiwi2020__AG0529-0531__515f,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora,
M00598:87:000000000-J7KGW:1:1101:12715:21044__kiwi2020__AG0529-0734__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,
M00598:87:000000000-J7KGW:1:1101:12717:23142__kiwi2020__AG0529-0815__515f,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina,
M00598:87:000000000-J7KGW:1:1101:12734:14022__kiwi2020__AG0529-0379__515f,Bacteria,Acidobacteria,Acidobacteria_Gp1,Acidipila,,,
M00598:87:000000000-J7KGW:1:1101:12852:13741__kiwi2020__AG0529-1064__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Monoglobus,
M00598:87:000000000-J7KGW:1:1101:12872:9919__kiwi2020__AG0529-0919__515f,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora,
M00598:87:000000000-J7KGW:1:1101:12911:15564__kiwi2020__AG0529-0478__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,
M00598:87:000000000-J7KGW:1:1101:12925:5647__kiwi2020__AG0529-1057__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Monoglobus,
M00598:87:000000000-J7KGW:1:1101:12964:9226__kiwi2020__AG0529-0142__515f,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,
M00598:87:000000000-J7KGW:1:1101:12995:13406__kiwi2020__AG0529-1123__515f,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Chryseolinea,
M00598:87:000000000-J7KGW:1:1101:12996:19331__kiwi2020__AG0529-0922__515f,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,
M00598:87:000000000-J7KGW:1:1101:13039:9871__kiwi2020__AG0529-1113__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
M00598:87:000000000-J7KGW:1:1101:13049:17347__kiwi2020__AG0529-1034__515f,Bacteria,Acidobacteria,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,
M00598:87:000000000-J7KGW:1:1101:13168:26846__kiwi2020__AG0529-0605__515f,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longicatena,
M00598:87:000000000-J7KGW:1:1101:13203:28082__kiwi2020__AG0529-1002__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Petroclostridium,
M00598:87:000000000-J7KGW:1:1101:13289:3290__kiwi2020__AG0529-1030__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Stomatobaculum,
M00598:87:000000000-J7KGW:1:1101:13295:8033__kiwi2020__AG0529-0373__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,
M00598:87:000000000-J7KGW:1:1101:13337:9570__kiwi2020__AG0529-0397__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,
M00598:87:000000000-J7KGW:1:1101:13344:26130__kiwi2020__AG0529-1080__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,
M00598:87:000000000-J7KGW:1:1101:13395:28184__kiwi2020__AG0529-0199__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aureimonas,
M00598:87:000000000-J7KGW:1:1101:13458:6667__kiwi2020__AG0529-0811__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,
M00598:87:000000000-J7KGW:1:1101:13503:26219__kiwi2020__AG0529-0321__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mordavella,
M00598:87:000000000-J7KGW:1:1101:13606:5006__kiwi2020__AG0529-0719__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Monoglobus,
M00598:87:000000000-J7KGW:1:1101:13616:20818__kiwi2020__AG0529-0279__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 3,Caldisalinibacter,
M00598:87:000000000-J7KGW:1:1101:13618:4076__kiwi2020__AG0529-0376__515f,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiales_incertae_sedis,Sinosporangium,
M00598:87:000000000-J7KGW:1:1101:13693:10652__kiwi2020__AG0529-1077__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Criibacterium,
M00598:87:000000000-J7KGW:1:1101:13694:19170__kiwi2020__AG0529-1123__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XIII,Anaerovorax,
M00598:87:000000000-J7KGW:1:1101:13699:24587__kiwi2020__AG0529-0728__515f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,
M00598:87:000000000-J7KGW:1:1101:13725:4886__kiwi2020__AG0529-0283__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus2,
M00598:87:000000000-J7KGW:1:1101:13727:26303__kiwi2020__AG0529-0850__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio,
M00598:87:000000000-J7KGW:1:1101:13730:23300__kiwi2020__AG0529-0507__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,
M00598:87:000000000-J7KGW:1:1101:13746:5362__kiwi2020__AG0529-0176__515f,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,
M00598:87:000000000-J7KGW:1:1101:13780:14692__kiwi2020__AG0529-1134__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,Porticoccus,
M00598:87:000000000-J7KGW:1:1101:13850:23604__kiwi2020__AG0529-0563__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Dethiosulfatarculus,
M00598:87:000000000-J7KGW:1:1101:13850:5657__kiwi2020__AG0529-0394__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,
M00598:87:000000000-J7KGW:1:1101:13876:9802__kiwi2020__AG0529-0518__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Roseiarcaceae,Roseiarcus,
M00598:87:000000000-J7KGW:1:1101:14022:5102__kiwi2020__AG0529-0117__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,
M00598:87:000000000-J7KGW:1:1101:14037:6568__kiwi2020__AG0529-0867__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,
M00598:87:000000000-J7KGW:1:1101:14039:17889__kiwi2020__AG0529-0728__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XII,Guggenheimella,
M00598:87:000000000-J7KGW:1:1101:14056:25653__kiwi2020__AG0529-0922__515f,Bacteria,Planctomycetes,Planctomycetacia,Candidatus Brocadiales,Candidatus Brocadiaceae,Candidatus Brocadia,
M00598:87:000000000-J7KGW:1:1101:14058:11518__kiwi2020__AG0529-0798__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Aestuariispira,
M00598:87:000000000-J7KGW:1:1101:14058:6630__kiwi2020__AG0529-0541__515f,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,
M00598:87:000000000-J7KGW:1:1101:14067:7484__kiwi2020__AG0529-0492__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,
M00598:87:000000000-J7KGW:1:1101:14068:5569__kiwi2020__AG0529-0694__515f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
M00598:87:000000000-J7KGW:1:1101:14071:18019__kiwi2020__AG0529-0382__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus,
M00598:87:000000000-J7KGW:1:1101:14116:4361__kiwi2020__AG0529-0789__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,
M00598:87:000000000-J7KGW:1:1101:14126:27132__kiwi2020__AG0529-0573__515f,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,
M00598:87:000000000-J7KGW:1:1101:14158:19234__kiwi2020__AG0529-0581__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Ewingella,
M00598:87:000000000-J7KGW:1:1101:14158:19318__kiwi2020__AG0529-0911__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Micropepsis,
M00598:87:000000000-J7KGW:1:1101:14195:9920__kiwi2020__AG0529-0072__515f,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,
M00598:87:000000000-J7KGW:1:1101:14205:3247__kiwi2020__AG0529-1013__515f,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Empedobacter,
M00598:87:000000000-J7KGW:1:1101:14218:25730__kiwi2020__AG0529-0507__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,
M00598:87:000000000-J7KGW:1:1101:14243:15382__kiwi2020__AG0529-0377__515f,Bacteria,Acidobacteria,Acidobacteria_Gp2,Gp2,,,
M00598:87:000000000-J7KGW:1:1101:14295:8364__kiwi2020__AG0529-0833__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
M00598:87:000000000-J7KGW:1:1101:14299:11507__kiwi2020__AG0529-0930__515f,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Baekduiaceae,Baekduia,
M00598:87:000000000-J7KGW:1:1101:14321:24737__kiwi2020__AG0529-1008__515f,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,
M00598:87:000000000-J7KGW:1:1101:14363:10436__kiwi2020__AG0529-0637__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Paludicola,
M00598:87:000000000-J7KGW:1:1101:14421:3108__kiwi2020__AG0529-0805__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto,
M00598:87:000000000-J7KGW:1:1101:14428:21639__kiwi2020__AG0529-0169__515f,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Formivibrio,
M00598:87:000000000-J7KGW:1:1101:14442:3378__kiwi2020__AG0529-0687__515f,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,
M00598:87:000000000-J7KGW:1:1101:14538:22412__kiwi2020__AG0529-0843__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Jahnella
M00598:87:000000000-J7KGW:1:1101:14608:18302__kiwi2020__AG0529-0774__515f,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,
M00598:87:000000000-J7KGW:1:1101:14625:15502__kiwi2020__AG0529-1057__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Merdimonas,
M00598:87:000000000-J7KGW:1:1101:14655:8749__kiwi2020__AG0529-0062__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Kaistiaceae,Kaistia,
M00598:87:000000000-J7KGW:1:1101:14712:8961__kiwi2020__AG0529-0054__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Robinsoniella,
M00598:87:000000000-J7KGW:1:1101:14730:5791__kiwi2020__AG0529-1107__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproicibacter,
M00598:87:000000000-J7KGW:1:1101:14733:26597__kiwi2020__AG0529-0833__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Paludicola,
